Shallow Grave (1994),The Wicker Man (1973),
Short Curcuit (1986),Saturday Night Fever (1977),
Sky Captain and the World of Tomorrow (2004),The Wizard of Oz (1939),
Slap Shot (1977),The Land Unknown (1957),
Sleepless in Seattle (1993),An Affair to Remember (1957),
Slither (2006),The Toxic Avenger (1984),
Slumber Party Massacre II (1987),Rock 'n' Roll High School (1979),
Sneakers (1992),Touch of Evil (1958),
Southland Tales (2006),Kiss Me Deadly (1955),
Spaceballs (1987),Spaceballs (1987),
Spartan (2004),Too Late for Tears (1949),
Starman (1984),From Here to Eternity (1953),
Starman (1984),The Charge at Feather River (1953),
Step Brothers (2008),Above the Law (1988),
Stranger than Fiction (2006),Monty Python's: The Meaning of Life (1985),
Stranger Than Fiction (2006),A Man and a Woman (1966),
Stuart Little 2 (2002),Vertigo (1958),
Suburban Girl (2007),Citizen Kane (1941),
Sugar & Spice (2001),Heat (1995),
Sugar & Spice (2001),Point Break (1991),
Sullivan's Travels (1941),Playful Pluto (1934),
Summer of '42 (1971),Now Voyager (1942),
Sunset Blvd. (1950),Queen Kelly (1929),
Super (2010),Haxan: Witchcraft Through the Ages (1922),
Super (2010),Troma's War (1988),
Supergirl (1984),Psycho II (1983),
Tank Girl (1995),It's a Pleasure (1945),
Targets (1968),The Criminal Code (1931),
Taxi Driver (1976),Sexual Freedom in Denmark (1969),
Two Weeks in Another Town (1962),The Bad and the Beautiful,
The 'Burbs (1989),Race With the Devil (1975),
The 'Burbs (1989),The Exorcist (1973),
The 'Burbs (1989),The Texas Chainsaw Massacre 2 (1986),
The 40-Year-Old Virgin (2005),Dawn of the Dead (2004),
The American (2010),Once Upon A Time In The West (1968),
The Apartment (1960),Angel and the Badman (1947),
The Apartment (1960),Fort Apache (1948),
The Apartment (1960),Stagecoach (1939),
The Aviator (2004),Hell's Angels (1930),
The Aviator (2004),The Jazz Singer (1927),
The Aviator (2004),The Outlaw (1943),
The Babadook (2014),An Extraordinary Dislocation (1901),
The Babadook (2014),Black Sabbath (1963),
The Babadook (2014),Carnival of Souls (1962),
The Babadook (2014),The Damnation of Faust (1903),
The Babadook (2014),Four Heads Are Better Than One (1898),
The Babadook (2014),The Cake-Walk Infernal (1903),
The Babadook (2014),The Eclipse: Courtship of the Sun and Moon (1907),
The Babadook (2014),The Haunted House (1908),
The Babadook (2014),The Magic Book (1900),
The Babadook (2014),The Phantom of the Opera (1925),
The Babadook (2014),The Strange Love of Martha Ivers (1946),
The Big Chill (1983),It Came From Beneath The Sea (1955),
The Big Sick (2017),Night of the Living Dead (1969),
The Big Sick (2017),The Abominable Dr. Phibes (1971),
The Blob (1958),Dementia (1955),
The Butterfly Effect (2004),Seven (1995),
The Cable Guy (1996),Play Misty For Me (1971),
The Cable Guy (1996),Sleepless in Seattle (1993),
The Cider House Rules (1985),King Kong (1933),
The Cider House Rules (1985),Rebecca (1940),
The Courtship of Eddie's Father (1963),Mogambo (1953),
The Cure (1995),2001 A Space Odyssey (1968),
The Departed (2006),Audition (1999),
The Departed (2006),Debbie Does Dallas: The Revenge (2003),
The Dreamers (2003),The Girl Can't Help It (1956),
The Dressmaker (2015),Sunset Blvd. (1950),
The English Patient (1996),Gold Diggers of 1933 (1933),
The Family Stone (2005),Meet Me in St. Louis (1944),
The Fast and the Furious (2001),Dragon: The Bruce Lee Story (1993),
The Fisher King (1991),Gilda (1946),
The Fisher King (1991),The Lady from Shanghai (1947),
The Freshman (1990),The Godfather Part II (1974),
The Funhouse (1981),The Bride of Frankenstein (1935),
The Green Mile,Top Hat (1935),
The Grifters (1990),The Lady Vanishes (1938),
The Guard (2011),The Shout (1978),
The Illusionist (2010),Mon Oncle (1958),
The Informant (2009),The Firm (1993),
The Iron Lady (2011),The King And I (1956),
The King of Comedy (1983),Pickup on South Street (1953),
The Last Boy Scout (1991),Lethal Weapon (1987),
The Last Picture Show (1971),Father of the Bride (1950),
The Last Picture Show (1971),Red River (1948),
The Last Shot (2004),Casablanca (1942),
The Legend of Billie Jean (1985),Saint Joan (1957),
The Long Kiss Goodnight (1996),Disorder in the Court (1936),
The Long Kiss Goodnight (1996),The Long Goodbye (1973),
The Lost Boys (1987),The Phantom from 10000 Leagues (1955),
The Lost Boys (1987),THEM! (1954),
The Majestic (2001),The Day The Earth Stood Still (1951),
The Man Who Knew Too Little (1997),Copycat (1995),
The Matrix (1999),Night of the Lepus (1972),
The Matrix Reloaded (2003),Baraka (1992),
The Matrix Reloaded (2003),The Brides of Dracula (1960),
The Matrix Reloaded (2003),The Matrix (1999),
The Naked Gun 2_: The Smell of Fear (1991),The Ten Commandments (1956),
The Notebook (2004),Li'l Abner (1940),
The Omega Man (1971),Woodstock (1970),
The Perks of Being a Wallflower (2012),The Rocky Horror Picture Show (1975),
The Player (1992),The Bicycle Thief (1948),
The Postman,The Sound of Music (1965),
The Prize (1963),Bombshell (1933),
The Purple Rose of Cairo (1985),Top Hat (1935),
The Ref (1994),It's A Wonderful Life (1946),
The Sandlot (1993),The Wolf Man (1941),
The Shape of Water (2017),The Story of Ruth (1960),
The Shape of Water (2017),Mardi Gras (1958),
The Shape of Water (2017),That Night in Rio,
The Shape of Water (2017),Sun Valley Serenade,
The Shape of Water (2017),Hello Frisco, 
The Shape of Water (2017),Coney Island,
The Shape of Water (2017),The Little Colonel,
The Shawshank Redemption (1994),Gilda (1946),
The Shining (1980),Summer of '42 (1971),
The Squid and the Whale (2005),Blue Velvet (1986),
The Sugarland Express (1974),Sssssss (1973),
The Sugarland Express (1974),Whoa Be Gone! (1958),
The Tenant (1976),Enter The Dragon (1973),
The Third Man (1949),Maresi (1948),
The Tiger And The Snow (2005),The Good The Bad And The Ugly (1966),
The Town,Heat (1995),
The Twilight Saga: New Moon (2009),Romeo & Juliet (1968),
The Watch (2012),Alvin and the Chipmunks: Chipwrecked (2011),
The Watch (2012),Wild Things (1998),
The Weather Man (2005),Clear and Present Danger (1994),
The Yes Man (2008),Saw (2004),
They Live (1988),The Monolith Monsters (1957),
Things We Lost In The Fire (2007),Sunset Boulevard (1950),
This Means War (2012),Titanic (1997),
Throw Momma From the Train (1987),Strangers on a Train (1951),
Tian Zhu Ding aka A Touch of Sin (2013),Ching Se aka Green Snake (1993),
Tian Zhu Ding aka A Touch of Sin (2013),Fong Juk (Exiled) (2006),
To Live and Die in L.A. (1985),Of Human Bondage (1934),
Tommy Boy (1995),Naked Gun 33 1/3: The Final Insult (1994),
Trading Places (1983),To Catch a Thief (1955),
Trick 'r Treat (2007),House on Haunted Hill (1959),
True Romance (1992),Return of the Street Fighter (Satsujin Ken 2) (1974),
True Romance (1993),Freejack (1992),
True Romance (1993),Stay Tuned (1992),
True Romance (1993),The Mack (1973),
True Romance (1993),The Street Fighter Sister Street Fighter,
True Romance (1993),Ying Hung Boon Sik II aka A Better Tomorrow II (1987),
Truly Madly Deeply (1990),Brief Encounter (1945),
Twelve Monkeys (1995),Vertigo (1958),
Twelve Monkeys (1995),The Birds (1963),
Twilight (1998),Downhill Racer (1969),
Twister (1996),The Shining (1980),
Twister (1996),A Star Is Born (1954),
US Marshals (1998),Bullitt (1968),
Used People (1992),The Graduate (1967),
V for Vendetta,The Count of Monte Cristo,
Vampire's Kiss (1988),Nosferatu (1922),
Vanilla Sky (2001),Sabrina (1954),
Wall-E (2008),Hello Dolly (1969),
WarGames (1983),One MIllion Years B.C. (1966),
WarGames (1983),The Land That TIme Forgot (1975),
Waxwork II: Lost in Time (1992),Lobster Man From Mars (1989),
Weird Science (1985),Frankenstein (1931),
Welcome To Woop Woop (1997),South Pacific (1958),
What Ever Happened to Baby Jane? (1962),Parachute Jumper (1933),
What Ever Happened to Baby Jane? (1962),Ex-Lady (1933),
What Ever Happened to Baby Jane? (1962),Sadie McKee,
When Brendan Met Trudy (2000),The Hunchback Of Notre Dame (1939),
When Harry Met Sally (1989),Casablanca (1942),
Whip It (2009),The Jerk (1979),
White Heat (1949),Task Force (1949),
Wild Boys of the Road (1933),Footlight Parade (1933),
Witness for the Prosecution (1957),Jesse James (1939),
World's Greatest Dad (2009),Night of the Living Dead (1968),
You Me And Dupree (2006),Roman Holiday (1953),
Zodiac (2007),Dirty Harry (1971),
Zombieland (2009),Ghostbusters (1984),
